As Of;Currency;NAV;Securities In Issue;Net Assets;Fund Return Series;Benchmark Return Series
17/Apr/2026;EUR;6,20;252.884.556,00;1.567.879.980,59;--;--
16/Apr/2026;EUR;6,19;252.914.306,00;1.564.691.242,21;123,72;126,47
15/Apr/2026;EUR;6,18;252.945.616,00;1.562.931.975,03;123,57;126,34
14/Apr/2026;EUR;6,17;252.844.827,00;1.561.281.221,42;123,48;126,26
13/Apr/2026;EUR;6,16;252.823.905,00;1.556.965.057,33;123,15;125,91
10/Apr/2026;EUR;6,17;252.864.195,00;1.559.020.539,51;123,30;126,02
09/Apr/2026;EUR;6,16;252.339.195,00;1.554.542.543,78;123,20;125,92
08/Apr/2026;EUR;6,17;252.263.095,00;1.555.529.422,91;123,31;126,07
07/Apr/2026;EUR;6,12;252.668.118,00;1.545.309.207,16;122,31;125,02
02/Apr/2026;EUR;6,11;251.813.118,00;1.538.712.579,60;122,20;124,83
01/Apr/2026;EUR;6,12;253.976.851,00;1.553.863.081,84;122,35;124,98
31/Mar/2026;EUR;6,08;254.063.110,00;1.545.761.112,46;121,67;124,36
30/Mar/2026;EUR;6,07;254.148.909,00;1.543.529.028,12;121,45;124,16
27/Mar/2026;EUR;6,09;258.323.727,00;1.572.499.393,74;121,73;124,41
26/Mar/2026;EUR;6,11;259.840.194,00;1.587.927.088,46;122,21;124,86
25/Mar/2026;EUR;6,12;261.811.235,00;1.601.830.437,02;122,35;125,09
24/Mar/2026;EUR;6,10;260.128.770,00;1.585.543.940,82;121,89;124,63
23/Mar/2026;EUR;6,09;260.337.953,00;1.585.445.159,78;121,79;124,52
20/Mar/2026;EUR;6,11;260.345.003,00;1.589.685.715,27;122,11;124,80
19/Mar/2026;EUR;6,12;258.467.952,00;1.581.779.446,13;122,38;125,08
18/Mar/2026;EUR;6,14;256.544.971,00;1.576.284.135,99;122,87;125,62
17/Mar/2026;EUR;6,14;256.544.971,00;1.575.403.604,13;122,80;125,55
16/Mar/2026;EUR;6,12;255.482.159,00;1.564.714.031,65;122,48;125,22
13/Mar/2026;EUR;6,13;255.397.949,00;1.566.632.112,57;122,67;125,37
12/Mar/2026;EUR;6,14;251.969.532,00;1.548.230.049,00;122,88;125,59
11/Mar/2026;EUR;6,16;251.419.525,00;1.549.924.850,30;123,28;126,04
10/Mar/2026;EUR;6,18;248.833.175,00;1.537.439.810,02;123,56;126,32
09/Mar/2026;EUR;6,14;246.653.055,00;1.514.295.205,09;122,77;125,52
06/Mar/2026;EUR;6,18;251.686.166,00;1.555.565.777,54;123,60;126,32
05/Mar/2026;EUR;6,21;267.669.902,00;1.661.315.329,54;124,12;126,85
04/Mar/2026;EUR;6,21;265.384.241,00;1.646.791.793,15;124,09;126,86
03/Mar/2026;EUR;6,19;264.248.238,00;1.634.502.808,45;123,70;126,45
02/Mar/2026;EUR;6,21;265.113.238,00;1.646.359.663,27;124,19;126,95
27/Feb/2026;EUR;6,23;264.892.952,00;1.651.116.226,76;124,65;127,37
26/Feb/2026;EUR;6,24;264.975.439,00;1.652.976.658,59;124,75;127,47
25/Feb/2026;EUR;6,23;266.368.207,00;1.660.310.714,83;124,65;127,42
24/Feb/2026;EUR;6,23;266.294.225,00;1.659.005.043,13;124,59;127,36
23/Feb/2026;EUR;6,24;266.436.271,00;1.661.406.875,24;124,70;127,48
20/Feb/2026;EUR;6,23;266.355.296,00;1.660.484.193,99;124,67;127,41
19/Feb/2026;EUR;6,23;266.006.977,00;1.657.061.869,96;124,57;127,31
18/Feb/2026;EUR;6,22;265.757.133,00;1.653.835.416,20;124,45;127,22
17/Feb/2026;EUR;6,22;265.136.861,00;1.647.968.080,80;124,30;127,06
16/Feb/2026;EUR;6,22;265.181.569,00;1.648.488.136,10;124,32;127,08
13/Feb/2026;EUR;6,21;268.612.775,00;1.668.953.639,80;124,25;126,98
12/Feb/2026;EUR;6,22;269.195.258,00;1.675.281.977,00;124,45;127,18
11/Feb/2026;EUR;6,22;266.835.858,00;1.660.876.054,54;124,47;127,24
10/Feb/2026;EUR;6,23;251.863.560,00;1.568.452.389,11;124,53;127,30
09/Feb/2026;EUR;6,23;251.840.967,00;1.567.831.763,54;124,50;127,26
06/Feb/2026;EUR;6,22;251.724.421,00;1.566.301.909,70;124,43;127,16
05/Feb/2026;EUR;6,22;252.744.421,00;1.572.650.129,13;124,43;127,15
04/Feb/2026;EUR;6,22;251.849.546,00;1.566.691.296,80;124,40;127,16
03/Feb/2026;EUR;6,22;251.832.134,00;1.566.538.996,12;124,40;127,15
02/Feb/2026;EUR;6,22;253.452.817,00;1.575.257.851,62;124,29;127,04
30/Jan/2026;EUR;6,22;252.340.621,00;1.568.636.315,89;124,31;127,03
29/Jan/2026;EUR;6,22;251.144.399,00;1.561.275.656,28;124,32;127,04
28/Jan/2026;EUR;6,22;248.296.981,00;1.544.657.305,34;124,41;127,15
