As Of;Currency;NAV
20/Apr/2026;EUR;234,95
17/Apr/2026;EUR;235,14
16/Apr/2026;EUR;234,64
15/Apr/2026;EUR;234,33
14/Apr/2026;EUR;234,18
13/Apr/2026;EUR;233,51
10/Apr/2026;EUR;234,10
09/Apr/2026;EUR;234,37
08/Apr/2026;EUR;235,36
07/Apr/2026;EUR;233,24
02/Apr/2026;EUR;234,58
01/Apr/2026;EUR;234,21
31/Mar/2026;EUR;233,82
30/Mar/2026;EUR;233,15
27/Mar/2026;EUR;231,53
26/Mar/2026;EUR;232,39
25/Mar/2026;EUR;233,30
24/Mar/2026;EUR;232,72
23/Mar/2026;EUR;233,39
20/Mar/2026;EUR;233,62
19/Mar/2026;EUR;235,28
18/Mar/2026;EUR;235,29
17/Mar/2026;EUR;235,45
16/Mar/2026;EUR;235,24
13/Mar/2026;EUR;234,41
12/Mar/2026;EUR;235,04
11/Mar/2026;EUR;234,50
10/Mar/2026;EUR;235,62
09/Mar/2026;EUR;235,49
06/Mar/2026;EUR;234,99
05/Mar/2026;EUR;233,91
04/Mar/2026;EUR;235,15
03/Mar/2026;EUR;234,85
02/Mar/2026;EUR;235,66
27/Feb/2026;EUR;236,14
26/Feb/2026;EUR;235,56
25/Feb/2026;EUR;235,39
24/Feb/2026;EUR;235,22
23/Feb/2026;EUR;235,20
20/Feb/2026;EUR;234,95
19/Feb/2026;EUR;234,89
18/Feb/2026;EUR;234,79
17/Feb/2026;EUR;234,42
16/Feb/2026;EUR;234,30
13/Feb/2026;EUR;234,46
12/Feb/2026;EUR;234,10
11/Feb/2026;EUR;233,90
10/Feb/2026;EUR;233,64
09/Feb/2026;EUR;233,11
06/Feb/2026;EUR;233,09
05/Feb/2026;EUR;233,12
04/Feb/2026;EUR;233,10
03/Feb/2026;EUR;232,89
02/Feb/2026;EUR;233,25
30/Jan/2026;EUR;233,84
29/Jan/2026;EUR;233,95
28/Jan/2026;EUR;233,57
27/Jan/2026;EUR;233,46
26/Jan/2026;EUR;233,15
23/Jan/2026;EUR;232,47
22/Jan/2026;EUR;232,20
21/Jan/2026;EUR;232,23
20/Jan/2026;EUR;232,41
19/Jan/2026;EUR;232,72
16/Jan/2026;EUR;232,47
15/Jan/2026;EUR;232,73
14/Jan/2026;EUR;232,20
13/Jan/2026;EUR;231,63
12/Jan/2026;EUR;231,62
09/Jan/2026;EUR;231,37
08/Jan/2026;EUR;230,78
07/Jan/2026;EUR;230,83
06/Jan/2026;EUR;230,48
05/Jan/2026;EUR;230,17
02/Jan/2026;EUR;229,49
31/Dec/2025;EUR;230,23
30/Dec/2025;EUR;230,30
29/Dec/2025;EUR;230,71
24/Dec/2025;EUR;230,19
23/Dec/2025;EUR;230,10
22/Dec/2025;EUR;229,37
19/Dec/2025;EUR;229,55
18/Dec/2025;EUR;230,22
17/Dec/2025;EUR;230,09
16/Dec/2025;EUR;230,55
15/Dec/2025;EUR;230,72
12/Dec/2025;EUR;230,35
11/Dec/2025;EUR;230,75
10/Dec/2025;EUR;230,42
09/Dec/2025;EUR;230,45
08/Dec/2025;EUR;230,18
05/Dec/2025;EUR;231,04
04/Dec/2025;EUR;231,05
03/Dec/2025;EUR;231,25
02/Dec/2025;EUR;231,10
01/Dec/2025;EUR;231,28
28/Nov/2025;EUR;232,29
27/Nov/2025;EUR;232,33
26/Nov/2025;EUR;232,22
25/Nov/2025;EUR;232,11
24/Nov/2025;EUR;231,55
21/Nov/2025;EUR;231,41
20/Nov/2025;EUR;231,65
19/Nov/2025;EUR;231,90
18/Nov/2025;EUR;232,04
17/Nov/2025;EUR;232,17
14/Nov/2025;EUR;232,01
13/Nov/2025;EUR;232,40
12/Nov/2025;EUR;232,94
11/Nov/2025;EUR;232,46
10/Nov/2025;EUR;232,14
07/Nov/2025;EUR;231,85
06/Nov/2025;EUR;232,08
05/Nov/2025;EUR;232,07
04/Nov/2025;EUR;232,37
03/Nov/2025;EUR;232,34
31/Oct/2025;EUR;232,41
30/Oct/2025;EUR;232,41
29/Oct/2025;EUR;232,36
28/Oct/2025;EUR;232,10
27/Oct/2025;EUR;232,20
24/Oct/2025;EUR;231,91
23/Oct/2025;EUR;232,80
22/Oct/2025;EUR;232,94
21/Oct/2025;EUR;232,84
20/Oct/2025;EUR;232,36
17/Oct/2025;EUR;232,36
16/Oct/2025;EUR;232,83
15/Oct/2025;EUR;232,97
14/Oct/2025;EUR;232,22
13/Oct/2025;EUR;231,59
10/Oct/2025;EUR;231,46
09/Oct/2025;EUR;230,73
08/Oct/2025;EUR;230,77
07/Oct/2025;EUR;229,92
06/Oct/2025;EUR;230,05
03/Oct/2025;EUR;230,38
02/Oct/2025;EUR;230,09
01/Oct/2025;EUR;230,20
30/Sept/2025;EUR;229,96
29/Sept/2025;EUR;230,27
26/Sept/2025;EUR;229,93
25/Sept/2025;EUR;229,31
24/Sept/2025;EUR;229,46
23/Sept/2025;EUR;229,45
22/Sept/2025;EUR;229,51
19/Sept/2025;EUR;229,45
18/Sept/2025;EUR;229,87
17/Sept/2025;EUR;230,53
16/Sept/2025;EUR;230,30
15/Sept/2025;EUR;230,32
12/Sept/2025;EUR;229,93
11/Sept/2025;EUR;230,49
10/Sept/2025;EUR;230,45
09/Sept/2025;EUR;230,22
08/Sept/2025;EUR;230,29
05/Sept/2025;EUR;229,76
04/Sept/2025;EUR;229,21
03/Sept/2025;EUR;228,67
02/Sept/2025;EUR;228,11
01/Sept/2025;EUR;228,68
29/Aug/2025;EUR;229,11
28/Aug/2025;EUR;229,61
27/Aug/2025;EUR;229,38
26/Aug/2025;EUR;229,26
22/Aug/2025;EUR;229,78
21/Aug/2025;EUR;229,00
20/Aug/2025;EUR;229,74
19/Aug/2025;EUR;229,48
18/Aug/2025;EUR;229,25
15/Aug/2025;EUR;229,25
14/Aug/2025;EUR;230,52
13/Aug/2025;EUR;231,00
12/Aug/2025;EUR;230,02
11/Aug/2025;EUR;230,77
08/Aug/2025;EUR;230,86
07/Aug/2025;EUR;231,58
06/Aug/2025;EUR;231,51
05/Aug/2025;EUR;231,51
04/Aug/2025;EUR;231,26
01/Aug/2025;EUR;230,62
31/Jul/2025;EUR;231,13
30/Jul/2025;EUR;230,69
29/Jul/2025;EUR;230,81
28/Jul/2025;EUR;230,81
25/Jul/2025;EUR;230,16
24/Jul/2025;EUR;230,45
23/Jul/2025;EUR;231,62
22/Jul/2025;EUR;231,60
21/Jul/2025;EUR;231,25
18/Jul/2025;EUR;229,74
17/Jul/2025;EUR;230,05
16/Jul/2025;EUR;229,93
15/Jul/2025;EUR;229,94
14/Jul/2025;EUR;229,33
11/Jul/2025;EUR;229,46
10/Jul/2025;EUR;229,69
09/Jul/2025;EUR;230,40
08/Jul/2025;EUR;230,37
07/Jul/2025;EUR;230,87
04/Jul/2025;EUR;231,42
03/Jul/2025;EUR;231,64
02/Jul/2025;EUR;231,18
01/Jul/2025;EUR;231,92
30/Jun/2025;EUR;231,57
27/Jun/2025;EUR;231,48
26/Jun/2025;EUR;231,62
25/Jun/2025;EUR;231,26
24/Jun/2025;EUR;231,57
23/Jun/2025;EUR;232,36
20/Jun/2025;EUR;231,82
19/Jun/2025;EUR;231,81
18/Jun/2025;EUR;232,08
17/Jun/2025;EUR;231,43
16/Jun/2025;EUR;231,33
13/Jun/2025;EUR;231,11
12/Jun/2025;EUR;231,69
11/Jun/2025;EUR;231,04
10/Jun/2025;EUR;230,97
09/Jun/2025;EUR;230,35
06/Jun/2025;EUR;230,25
05/Jun/2025;EUR;229,51
04/Jun/2025;EUR;230,00
03/Jun/2025;EUR;230,43
02/Jun/2025;EUR;230,41
30/May/2025;EUR;230,35
29/May/2025;EUR;230,44
28/May/2025;EUR;229,94
27/May/2025;EUR;229,77
23/May/2025;EUR;229,44
22/May/2025;EUR;229,00
21/May/2025;EUR;229,31
20/May/2025;EUR;229,52
19/May/2025;EUR;229,90
16/May/2025;EUR;229,72
15/May/2025;EUR;229,12
14/May/2025;EUR;228,44
13/May/2025;EUR;228,57
12/May/2025;EUR;228,74
09/May/2025;EUR;229,17
08/May/2025;EUR;229,57
07/May/2025;EUR;229,88
06/May/2025;EUR;229,21
02/May/2025;EUR;229,11
01/May/2025;EUR;229,51
30/Apr/2025;EUR;229,48
29/Apr/2025;EUR;228,70
28/Apr/2025;EUR;229,19
25/Apr/2025;EUR;229,56
24/Apr/2025;EUR;230,02
23/Apr/2025;EUR;228,55
22/Apr/2025;EUR;228,66
17/Apr/2025;EUR;228,19
16/Apr/2025;EUR;227,47
15/Apr/2025;EUR;226,66
14/Apr/2025;EUR;227,55
11/Apr/2025;EUR;226,27
10/Apr/2025;EUR;226,40
